countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
34,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,79,4453,1224244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,597.000000
37,0,48,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,85,4453,1314244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,594.015000
38,0,48,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,86,4453,1329244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,591.044925
34,0,48,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,82,4453,1269244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,591.044925
33,0,48,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,81,4453,1254244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,585.149252
33,0,47,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,80,4453,1239244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,582.223506
35,0,47,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,82,4453,1269244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,576.415826
36,0,46,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,82,4453,1269244.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,570.666078
33,0,47,0,0,1,0,0,0,12,538,234,3529,8,14,119,0,81,4454,1254249.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,570.666078
33,0,47,0,0,1,0,0,0,12,528,233,3529,8,14,118,0,81,4442,1254193.000000,32,0,45,0,0,0,0,0,0,12,532,234,3529,8,14,124,0,77,4453,1194244.000000,559.338072
31,0,45,0,0,1,0,0,0,12,528,233,3529,8,14,118,0,77,4442,1194193.000000,31,0,45,0,0,1,0,0,0,12,528,233,3529,8,14,118,0,77,4442,1194193.000000,550.989881
30,0,44,0,0,1,0,0,0,12,528,233,3529,8,14,118,0,75,4442,1164193.000000,30,0,44,0,0,1,0,0,0,12,528,233,3529,8,14,118,0,75,4442,1164193.000000,548.234932
29,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,74,4441,1149188.000000,29,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,74,4441,1149188.000000,545.493757
26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,542.766288
26,0,44,0,0,1,1,0,0,11,528,233,3529,8,14,118,0,72,4441,1119188.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,540.052457
26,0,44,0,0,2,0,3,0,11,525,232,3511,8,14,117,0,75,4418,1163987.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,540.052457
26,0,44,0,0,2,0,0,0,11,525,234,3529,9,14,125,0,72,4447,1119239.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,540.052457
26,3,44,0,0,2,0,0,0,11,525,234,3529,9,14,125,0,75,4447,1164239.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,524.052058
25,0,45,0,0,2,0,3,0,11,525,233,3511,9,14,125,0,75,4428,1164058.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,524.052058
26,0,44,0,0,3,1,0,0,11,530,237,3586,9,14,123,0,74,4510,1149827.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,524.052058
26,0,44,0,0,2,0,0,0,11,528,234,3529,9,14,120,0,72,4445,1119229.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,524.052058
28,0,44,0,0,2,0,0,0,11,528,234,3529,9,14,120,0,74,4445,1149229.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,521.431797
26,0,44,0,0,2,0,0,0,11,525,235,3529,8,14,126,0,72,4448,1119215.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,521.431797
23,0,47,0,0,2,0,0,0,8,525,235,3529,8,14,126,0,72,4445,1119200.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,516.230515
24,0,47,0,0,2,0,3,0,6,523,233,3515,8,14,126,0,76,4425,1179038.000000,26,0,44,0,0,1,0,0,0,11,528,233,3529,8,14,118,0,71,4441,1104188.000000,513.649363
22,0,46,0,0,2,0,0,0,8,528,234,3529,8,14,127,0,70,4448,1089219.000000,22,0,46,0,0,2,0,0,0,8,528,234,3529,8,14,127,0,70,4448,1089219.000000,513.649363
19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,511.081116
22,0,44,0,0,2,0,0,0,6,524,233,3529,9,14,130,0,68,4445,1059233.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,508.525710
25,0,44,0,0,2,0,0,0,6,524,233,3529,9,14,130,0,71,4445,1104233.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,505.983082
25,0,42,0,0,2,0,0,0,9,524,233,3529,9,14,130,0,69,4448,1074248.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,505.983082
23,0,47,0,0,2,0,9,0,6,509,231,3434,9,14,134,0,81,4337,1253226.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,505.983082
23,0,47,0,0,2,1,9,0,6,509,231,3434,9,14,134,0,82,4337,1268226.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,500.935900
24,0,47,0,0,2,0,9,0,6,509,230,3413,9,14,134,0,82,4315,1268015.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,500.935900
21,0,49,0,0,2,0,9,0,8,509,230,3413,9,14,134,0,81,4317,1253025.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,495.939065
21,0,47,0,0,2,0,9,0,6,509,230,3413,9,14,134,0,79,4315,1223015.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,495.939065
21,0,47,0,0,2,1,9,0,6,509,230,3413,9,14,134,0,80,4315,1238015.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,493.459369
21,0,47,0,0,2,0,9,0,6,523,229,3413,9,14,135,0,79,4329,1223089.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,493.459369
22,0,44,0,0,2,0,9,0,9,523,229,3413,9,14,135,0,77,4332,1193104.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,490.992073
22,0,44,0,0,3,0,9,0,9,520,229,3413,10,14,138,0,78,4333,1208134.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,483.663955
25,0,41,0,0,3,0,3,0,9,525,230,3508,10,14,138,0,72,4434,1119110.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,481.245635
27,0,43,0,0,2,0,3,0,9,525,229,3508,10,14,135,0,75,4430,1164094.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,476.445210
27,0,43,0,0,2,0,3,0,9,528,229,3469,11,14,142,0,75,4402,1163784.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,471.692669
27,0,43,0,0,2,0,3,0,9,522,230,3508,11,14,141,0,75,4435,1164140.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,471.692669
27,0,42,0,0,2,1,3,0,9,532,230,3508,11,14,142,0,75,4446,1164195.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,469.334205
28,0,42,0,0,2,0,3,0,9,522,228,3508,11,14,138,0,75,4430,1164123.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,469.334205
27,0,43,0,0,2,0,3,0,9,522,230,3508,11,14,141,0,75,4435,1164140.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,466.987534
27,0,43,0,0,2,1,3,0,9,522,230,3508,11,14,141,0,76,4435,1179140.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,460.017687
28,0,43,0,0,2,0,3,0,9,522,230,3508,11,14,141,0,76,4435,1179140.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,460.017687
28,0,43,0,0,2,1,3,0,9,522,230,3508,11,14,141,0,77,4435,1194140.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,457.717598
28,0,43,0,0,3,0,3,0,9,554,230,3731,11,14,137,0,77,4686,1196510.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,457.717598
27,0,43,0,0,3,0,3,0,9,564,231,3731,11,14,133,0,76,4693,1181541.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,450.886106
27,0,43,0,0,3,0,6,0,9,563,228,3725,11,14,133,0,79,4683,1226473.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,448.631676
26,5,43,0,0,3,0,3,0,9,564,231,3731,11,14,133,0,80,4693,1241541.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,448.631676
26,5,43,0,0,3,1,3,0,9,564,231,3731,11,14,133,0,81,4693,1256541.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,444.156575
26,5,43,0,0,3,1,3,0,9,564,231,3731,11,14,133,0,81,4693,1256541.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,444.156575
24,5,41,0,0,3,0,9,0,9,564,230,3692,11,14,133,0,82,4653,1271150.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,444.156575
24,5,41,0,0,3,1,9,0,9,564,230,3692,11,14,133,0,83,4653,1286150.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,437.527482
21,5,42,0,0,3,0,9,0,9,564,229,3677,11,14,133,0,80,4637,1240999.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,437.527482
21,5,42,0,0,3,0,9,0,9,564,229,3677,12,14,133,0,80,4638,1241029.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,435.339845
21,5,42,0,0,3,0,9,0,7,564,229,3677,11,14,133,0,80,4635,1240989.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,435.339845
21,5,42,0,0,3,0,9,0,9,564,229,3677,11,14,133,0,80,4637,1240999.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,433.163146
21,5,41,0,0,3,0,9,0,7,564,230,3698,11,14,133,0,79,4657,1226200.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,433.163146
22,5,41,0,0,2,0,9,0,7,564,229,3692,11,14,126,0,79,4643,1226104.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,433.163146
22,5,44,0,0,2,0,9,0,7,564,229,3692,11,14,126,0,82,4643,1271104.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,428.842343
25,5,40,0,0,2,0,9,0,7,603,231,3872,11,14,123,0,81,4861,1258086.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,428.842343
22,5,42,0,0,2,0,9,0,9,603,231,3872,11,14,123,0,80,4863,1243096.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,426.698131
26,5,47,0,0,2,0,18,0,11,589,231,3739,11,14,123,0,98,4718,1511706.000000,19,0,46,0,0,2,0,0,0,8,524,233,3529,9,14,130,0,67,4447,1044243.000000,426.698131
