countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
47,30,80,0,0,7,2,176,0,51,522,331,1783,20,28,232,0,342,2967,10273931.000000,47,30,80,0,0,7,2,176,0,51,522,331,1783,20,28,232,0,342,2967,10273931.000000,600.000000
45,30,80,0,0,7,2,176,0,52,520,334,1783,20,28,232,0,340,2969,10213937.000000,45,30,80,0,0,7,2,176,0,52,520,334,1783,20,28,232,0,340,2969,10213937.000000,597.000000
45,30,80,0,0,8,2,176,0,52,511,332,1774,20,28,230,0,341,2947,10243851.000000,45,30,80,0,0,7,2,176,0,52,520,334,1783,20,28,232,0,340,2969,10213937.000000,591.044925
45,30,80,0,0,7,2,176,0,52,527,332,1795,20,28,232,0,340,2986,10214002.000000,45,30,80,0,0,7,2,176,0,52,520,334,1783,20,28,232,0,340,2969,10213937.000000,591.044925
48,30,78,0,0,7,2,171,0,49,530,332,1793,20,28,232,0,336,2984,10093980.000000,48,30,78,0,0,7,2,171,0,49,530,332,1793,20,28,232,0,336,2984,10093980.000000,585.149252
48,30,78,0,0,7,2,171,0,49,530,332,1793,21,28,232,0,336,2985,10094000.000000,48,30,78,0,0,7,2,171,0,49,530,332,1793,20,28,232,0,336,2984,10093980.000000,582.223506
47,30,78,0,0,7,2,171,0,49,515,332,1783,21,28,232,0,335,2960,10063935.000000,47,30,78,0,0,7,2,171,0,49,515,332,1783,21,28,232,0,335,2960,10063935.000000,573.533747
47,30,78,0,0,7,2,165,0,49,527,338,1845,21,28,232,0,329,3040,9884263.000000,47,30,78,0,0,7,2,165,0,49,527,338,1845,21,28,232,0,329,3040,9884263.000000,570.666078
41,30,81,0,0,7,2,172,0,49,527,337,1817,21,28,232,0,333,3011,10004122.000000,47,30,78,0,0,7,2,165,0,49,527,338,1845,21,28,232,0,329,3040,9884263.000000,567.812748
47,31,78,0,0,7,2,165,0,49,527,339,1860,22,28,228,0,330,3053,9914299.000000,47,30,78,0,0,7,2,165,0,49,527,338,1845,21,28,232,0,329,3040,9884263.000000,567.812748
46,31,77,0,0,7,2,165,0,50,571,335,1772,22,28,228,0,328,3006,9853904.000000,46,31,77,0,0,7,2,165,0,50,571,335,1772,22,28,228,0,328,3006,9853904.000000,564.973684
43,31,77,0,0,7,2,168,0,47,571,340,1781,22,28,228,0,328,3017,9853939.000000,46,31,77,0,0,7,2,165,0,50,571,335,1772,22,28,228,0,328,3006,9853904.000000,562.148816
43,31,77,0,0,7,3,168,0,47,571,340,1781,23,28,228,0,329,3018,9883959.000000,46,31,77,0,0,7,2,165,0,50,571,335,1772,22,28,228,0,328,3006,9853904.000000,559.338072
44,28,77,0,0,7,2,168,0,46,574,340,1784,22,28,228,0,326,3022,9793952.000000,44,28,77,0,0,7,2,168,0,46,574,340,1784,22,28,228,0,326,3022,9793952.000000,559.338072
39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,556.541381
37,28,80,0,0,7,2,172,0,46,591,343,1794,22,28,228,0,326,3052,9794022.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,548.234932
39,28,78,0,0,7,2,170,0,44,585,343,1797,22,28,227,0,324,3046,9734006.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,548.234932
42,28,79,0,0,7,2,170,0,40,574,350,2028,22,28,227,0,328,3269,9855137.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,542.766288
42,28,79,0,0,7,2,170,0,40,589,351,2048,22,28,228,0,328,3306,9855268.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,540.052457
42,28,79,0,0,7,2,170,0,40,589,346,2048,22,28,228,0,328,3301,9855263.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,537.352194
42,28,79,0,0,8,2,168,0,40,586,344,2051,22,28,226,0,327,3297,9825243.000000,39,28,78,0,0,7,2,170,0,44,582,341,1786,22,28,228,0,324,3031,9733961.000000,526.685485
41,28,75,0,0,8,2,159,0,45,594,348,2222,22,28,226,0,313,3485,9406135.000000,41,28,75,0,0,8,2,159,0,45,594,348,2222,22,28,226,0,313,3485,9406135.000000,518.824638
41,28,75,0,0,8,2,159,0,45,594,348,2228,22,28,226,0,313,3491,9406165.000000,41,28,75,0,0,8,2,159,0,45,594,348,2222,22,28,226,0,313,3485,9406135.000000,516.230515
41,28,75,0,0,8,2,159,0,45,591,348,2225,22,28,225,0,313,3484,9406132.000000,41,28,75,0,0,8,2,159,0,45,591,348,2225,22,28,225,0,313,3484,9406132.000000,508.525710
41,28,70,0,0,8,3,155,0,45,597,351,2227,23,28,231,0,305,3502,9166261.000000,41,28,70,0,0,8,3,155,0,45,597,351,2227,23,28,231,0,305,3502,9166261.000000,503.453166
41,28,70,0,0,8,3,155,0,45,570,347,2218,23,28,231,0,305,3462,9166185.000000,41,28,70,0,0,8,3,155,0,45,570,347,2218,23,28,231,0,305,3462,9166185.000000,498.431221
40,28,70,0,0,8,3,155,0,42,570,347,2226,23,28,231,0,304,3467,9136210.000000,40,28,70,0,0,8,3,155,0,42,570,347,2226,23,28,231,0,304,3467,9136210.000000,493.459369
40,28,70,0,0,7,3,155,0,42,582,348,2254,23,28,225,0,303,3502,9106273.000000,40,28,70,0,0,7,3,155,0,42,582,348,2254,23,28,225,0,303,3502,9106273.000000,483.663955
40,28,70,0,0,7,3,155,0,42,582,346,2254,23,28,225,0,303,3500,9106271.000000,40,28,70,0,0,7,3,155,0,42,582,346,2254,23,28,225,0,303,3500,9106271.000000,481.245635
38,28,70,0,0,7,3,155,0,44,577,343,2219,23,28,225,0,301,3459,9046098.000000,38,28,70,0,0,7,3,155,0,44,577,343,2219,23,28,225,0,301,3459,9046098.000000,478.839407
38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,466.987534
37,28,69,0,0,7,3,155,0,44,582,343,2214,22,28,226,0,299,3459,8986073.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,466.987534
37,28,69,0,0,7,3,155,0,44,572,342,2204,22,28,226,0,299,3438,8986012.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,460.017687
36,28,69,0,0,7,3,155,0,44,564,341,2212,22,28,226,0,298,3437,8956043.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,457.717598
33,28,69,0,0,7,3,155,0,44,552,338,2182,22,28,226,0,295,3392,8865878.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,448.631676
38,28,69,0,0,7,3,148,0,47,573,346,2234,21,28,232,0,293,3481,8806252.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,448.631676
38,28,69,0,0,7,3,148,0,47,573,345,2235,21,28,232,0,293,3481,8806256.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,441.935792
38,28,69,0,0,7,3,148,0,47,577,345,2222,21,28,233,0,293,3473,8806210.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,439.726113
40,24,69,0,0,7,3,148,0,47,581,342,2198,21,28,233,0,291,3450,8746091.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,437.527482
39,24,69,0,0,7,3,148,0,47,581,342,2202,21,28,234,0,290,3455,8716126.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,433.163146
38,24,69,0,0,7,3,148,0,45,581,342,2174,21,28,234,0,289,3425,8685976.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,430.997330
39,24,69,0,0,6,3,148,0,47,581,339,2192,21,28,235,0,289,3443,8686088.000000,38,22,68,0,0,7,3,150,0,40,583,350,2311,23,28,225,0,288,3560,8656551.000000,430.997330
39,24,68,0,0,6,3,148,0,47,581,335,2182,21,28,235,0,288,3429,8656034.000000,39,24,68,0,0,6,3,148,0,47,581,335,2182,21,28,235,0,288,3429,8656034.000000,426.698131
39,24,68,0,0,6,3,156,0,47,589,339,2186,22,28,226,0,296,3437,8895951.000000,39,24,68,0,0,6,3,148,0,47,581,335,2182,21,28,235,0,288,3429,8656034.000000,424.564641
39,19,68,0,0,6,3,156,0,47,579,337,2184,22,28,226,0,291,3423,8745929.000000,39,24,68,0,0,6,3,148,0,47,581,335,2182,21,28,235,0,288,3429,8656034.000000,420.329609
37,19,68,0,0,6,3,155,0,49,574,333,2176,22,28,226,0,288,3408,8655890.000000,37,19,68,0,0,6,3,155,0,49,574,333,2176,22,28,226,0,288,3408,8655890.000000,416.136821
38,19,68,0,0,6,3,150,0,47,565,333,2127,22,28,226,0,284,3348,8535626.000000,38,19,68,0,0,6,3,150,0,47,565,333,2127,22,28,226,0,284,3348,8535626.000000,409.925927
38,19,68,0,0,7,3,150,0,48,567,335,2135,22,28,233,0,285,3368,8565780.000000,38,19,68,0,0,6,3,150,0,47,565,333,2127,22,28,226,0,284,3348,8535626.000000,407.876297
39,19,69,0,0,7,3,152,0,48,567,336,2126,22,28,233,0,289,3360,8685736.000000,38,19,68,0,0,6,3,150,0,47,565,333,2127,22,28,226,0,284,3348,8535626.000000,405.836916
38,19,68,0,0,7,3,150,0,48,596,331,2144,22,28,233,0,285,3402,8565850.000000,38,19,68,0,0,6,3,150,0,47,565,333,2127,22,28,226,0,284,3348,8535626.000000,405.836916
38,19,68,0,0,7,3,150,0,48,598,331,2145,22,28,232,0,285,3404,8565842.000000,38,19,68,0,0,6,3,150,0,47,565,333,2127,22,28,226,0,284,3348,8535626.000000,403.807731
38,19,66,0,0,7,3,150,0,48,598,334,2149,22,28,232,0,283,3411,8505865.000000,38,19,66,0,0,7,3,150,0,48,598,334,2149,22,28,232,0,283,3411,8505865.000000,393.812986
40,19,68,0,0,7,3,150,0,47,596,333,2149,22,28,232,0,287,3407,8625857.000000,38,19,66,0,0,7,3,150,0,48,598,334,2149,22,28,232,0,283,3411,8505865.000000,389.884702
37,19,68,0,0,7,3,150,0,47,602,334,2167,22,28,232,0,284,3432,8535954.000000,38,19,66,0,0,7,3,150,0,48,598,334,2149,22,28,232,0,283,3411,8505865.000000,385.995602
36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,384.065624
37,19,68,0,0,7,3,150,0,47,605,334,2167,22,28,232,0,284,3435,8535957.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,384.065624
37,19,68,0,0,7,2,150,0,47,609,337,2186,22,28,231,0,283,3460,8506044.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,382.145296
37,19,67,0,0,7,2,146,0,48,615,336,2180,22,28,231,0,278,3460,8356024.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,380.234569
37,19,67,0,0,7,2,146,0,48,623,338,2216,22,28,226,0,278,3501,8356139.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,376.441729
37,19,67,0,0,7,2,146,0,48,620,337,2184,22,28,231,0,278,3470,8356050.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,376.441729
37,19,67,0,0,7,2,146,0,48,621,337,2184,22,28,231,0,278,3471,8356051.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,372.686723
36,19,67,0,0,7,2,146,0,48,622,338,2185,22,28,231,0,277,3474,8326058.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,368.969173
36,19,67,0,0,7,2,146,0,48,637,337,2180,22,28,231,0,277,3483,8326047.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,365.288705
36,19,67,0,0,8,3,146,0,43,619,337,2044,21,28,237,0,279,3329,8385394.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,365.288705
36,19,67,0,0,8,3,146,0,43,616,337,2044,21,28,237,0,279,3326,8385391.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,359.836726
36,19,67,0,0,8,3,146,0,43,616,335,2044,21,28,237,0,279,3324,8385389.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,354.466118
36,19,67,0,0,8,3,146,0,43,616,333,2041,21,28,237,0,279,3319,8385372.000000,36,15,66,0,0,7,3,148,0,45,602,330,2159,22,28,232,0,275,3418,8265900.000000,350.930318
35,19,65,0,0,8,3,143,0,42,616,329,2034,21,28,237,0,273,3307,8205328.000000,35,19,65,0,0,8,3,143,0,42,616,329,2034,21,28,237,0,273,3307,8205328.000000,345.692639
35,19,65,0,0,8,3,143,0,42,632,329,2039,21,28,237,0,273,3328,8205369.000000,35,19,65,0,0,8,3,143,0,42,616,329,2034,21,28,237,0,273,3307,8205328.000000,338.830468
35,16,65,0,0,8,3,143,0,42,629,329,2039,21,28,237,0,270,3325,8115366.000000,35,16,65,0,0,8,3,143,0,42,629,329,2039,21,28,237,0,270,3325,8115366.000000,335.450634
35,16,64,0,0,8,3,143,0,43,629,329,2005,21,28,237,0,269,3292,8085201.000000,35,16,64,0,0,8,3,143,0,43,629,329,2005,21,28,237,0,269,3292,8085201.000000,322.265090
34,16,67,0,0,8,3,146,0,43,632,328,1999,21,28,237,0,274,3288,8235173.000000,35,16,64,0,0,8,3,143,0,43,629,329,2005,21,28,237,0,269,3292,8085201.000000,320.653765
34,16,67,0,0,8,3,146,0,43,626,327,1991,21,28,234,0,274,3270,8235081.000000,35,16,64,0,0,8,3,143,0,43,629,329,2005,21,28,237,0,269,3292,8085201.000000,319.050496
33,16,67,0,0,8,3,146,0,43,630,327,1999,21,28,234,0,273,3282,8205125.000000,35,16,64,0,0,8,3,143,0,43,629,329,2005,21,28,237,0,269,3292,8085201.000000,317.455244
33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,314.288628
38,12,66,0,0,8,3,145,0,39,627,321,1991,21,28,234,0,272,3261,8175056.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,312.717184
35,12,67,0,0,8,3,146,0,42,641,325,2015,21,28,232,0,271,3304,8145179.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,312.717184
35,12,67,0,0,8,3,146,0,42,625,325,2015,21,28,232,0,271,3288,8145163.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,311.153599
35,12,67,0,0,8,3,146,0,42,637,325,2014,21,28,232,0,271,3299,8145170.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,306.509592
35,12,67,0,0,8,3,146,0,42,637,319,2018,21,28,232,0,271,3297,8145184.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,304.977044
35,12,67,0,0,8,3,146,0,42,637,320,2018,21,28,232,0,271,3298,8145185.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,303.452159
35,12,67,0,0,8,3,146,0,42,639,320,2018,21,28,232,0,271,3300,8145187.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,298.923098
35,12,67,0,0,8,3,146,0,42,639,316,2018,21,28,232,0,271,3296,8145183.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,297.428482
35,12,67,0,0,8,3,146,0,42,641,313,2018,21,28,232,0,271,3295,8145182.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,294.461633
35,12,67,0,0,8,3,146,0,42,634,314,2018,21,28,232,0,271,3289,8145176.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,292.989325
35,12,67,0,0,8,3,146,0,42,634,314,2023,21,28,232,0,271,3294,8145201.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,290.066756
35,12,67,0,0,8,3,146,0,42,637,312,2020,21,28,232,0,271,3292,8145187.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,280.065442
33,12,67,0,0,8,3,146,0,42,622,314,2030,21,28,232,0,269,3289,8085224.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,277.271789
33,12,67,0,0,8,3,146,0,42,622,314,2034,21,28,232,0,269,3293,8085244.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,273.133473
33,12,67,0,0,8,3,146,0,42,622,314,2031,20,28,231,0,269,3288,8085194.000000,33,12,67,0,0,8,3,146,0,42,622,324,1996,21,28,234,0,269,3267,8085094.000000,267.711637
30,12,64,0,0,8,3,139,0,42,616,319,2065,20,28,231,0,256,3321,7695363.000000,30,12,64,0,0,8,3,139,0,42,616,319,2065,20,28,231,0,256,3321,7695363.000000,266.373079
30,12,64,0,0,8,3,139,0,42,616,322,2055,20,28,231,0,256,3314,7695316.000000,30,12,64,0,0,8,3,139,0,42,616,322,2055,20,28,231,0,256,3314,7695316.000000,265.041214
30,12,64,0,0,8,3,139,0,42,619,325,2067,20,28,231,0,256,3332,7695382.000000,30,12,64,0,0,8,3,139,0,42,616,322,2055,20,28,231,0,256,3314,7695316.000000,261.085441
30,12,64,0,0,8,3,139,0,42,588,324,2040,20,28,231,0,256,3273,7695215.000000,30,12,64,0,0,8,3,139,0,42,588,324,2040,20,28,231,0,256,3273,7695215.000000,261.085441
30,12,64,0,0,8,3,139,0,42,588,327,2050,20,28,230,0,256,3285,7695253.000000,30,12,64,0,0,8,3,139,0,42,588,324,2040,20,28,231,0,256,3273,7695215.000000,259.780013
30,12,64,0,0,8,3,139,0,42,588,318,2037,20,28,231,0,256,3264,7695194.000000,30,12,64,0,0,8,3,139,0,42,588,318,2037,20,28,231,0,256,3264,7695194.000000,259.780013
27,12,62,0,0,8,3,137,0,41,588,317,2049,20,28,231,0,249,3274,7485248.000000,27,12,62,0,0,8,3,137,0,41,588,317,2049,20,28,231,0,249,3274,7485248.000000,250.822967
27,12,62,0,0,8,3,137,0,40,591,316,2046,20,28,230,0,249,3271,7485215.000000,27,12,62,0,0,8,3,137,0,40,591,316,2046,20,28,230,0,249,3271,7485215.000000,249.568852
27,12,62,0,0,8,3,137,0,40,588,314,2037,20,28,230,0,249,3257,7485165.000000,27,12,62,0,0,8,3,137,0,40,588,314,2037,20,28,230,0,249,3257,7485165.000000,247.079402
26,12,60,0,0,8,3,132,0,39,588,316,2057,20,28,230,0,241,3278,7245262.000000,26,12,60,0,0,8,3,132,0,39,588,316,2057,20,28,230,0,241,3278,7245262.000000,238.560264
