countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
68,46,147,0,0,15,4,271,0,50,727,492,3103,31,21,803,3,551,5230,13824167.000000
79,54,143,0,0,13,5,300,0,50,530,449,2681,29,21,736,7,594,4503,14893184.000000
78,34,153,0,0,12,2,306,0,51,718,498,2839,35,21,683,3,585,4848,14670408.000000
79,43,147,0,0,13,7,316,0,62,732,465,2822,32,21,755,3,605,4892,15171000.000000
65,32,150,0,0,11,3,323,0,61,612,425,2467,31,21,710,5,584,4332,14641215.000000
84,25,151,0,0,13,5,279,0,44,744,510,3595,30,21,678,4,557,5626,13978205.000000
80,32,152,0,0,14,4,304,0,51,712,507,3360,30,21,737,4,586,5422,14701157.000000
74,26,140,0,0,14,2,253,0,51,817,568,4392,32,21,780,3,509,6664,12787848.000000
53,32,141,0,0,15,4,253,0,47,832,575,3282,31,21,789,5,498,5582,12502435.000000
75,26,144,0,0,14,3,290,0,57,673,499,3168,28,21,726,5,552,5177,13848929.000000
87,39,164,0,0,15,3,326,0,59,580,473,3067,33,21,733,1,634,4967,15896243.000000
76,49,149,0,0,16,3,295,0,37,701,520,2788,31,21,719,2,588,4819,14744630.000000
75,45,158,0,0,15,3,283,0,57,785,515,3696,33,21,734,3,579,5844,14530125.000000
79,39,152,0,0,14,2,300,0,49,908,505,2928,32,21,733,1,586,5177,14698075.000000
63,41,141,0,0,14,3,268,0,55,770,551,3389,33,21,767,4,530,5590,13302511.000000
73,18,145,0,0,12,4,270,0,58,632,524,2867,30,21,782,6,522,4920,13096429.000000
76,22,144,0,0,14,3,287,0,47,774,494,2916,32,21,760,4,546,5048,13697614.000000
71,24,148,0,0,16,3,280,0,32,953,547,3596,31,21,780,3,542,5963,13606092.000000
91,54,154,0,0,14,4,309,0,40,640,459,2971,32,21,729,4,626,4896,15696444.000000
72,47,148,0,0,15,2,280,0,50,667,539,3451,32,21,746,2,564,5508,14151314.000000
64,28,150,0,0,14,4,273,0,42,657,516,2882,30,21,673,8,533,4829,13371151.000000
71,20,141,0,0,12,4,282,0,44,755,509,3553,32,21,691,8,530,5613,13304104.000000
70,21,138,0,0,12,3,285,0,48,555,407,2796,33,21,799,6,529,4665,13270072.000000
72,36,154,0,0,14,4,281,0,55,839,579,4107,33,21,729,3,561,6366,14084779.000000
64,31,145,0,0,14,3,288,0,56,801,518,3172,31,21,816,2,545,5417,13675533.000000
72,12,139,0,0,14,2,299,0,51,612,495,2721,34,21,755,4,538,4693,13494095.000000
70,44,146,0,0,15,2,276,0,47,777,529,3104,33,21,739,4,553,5254,13874389.000000
81,22,115,0,0,14,3,246,0,52,697,459,2802,30,21,791,5,481,4857,12071174.000000
69,26,158,0,0,12,2,309,0,45,671,476,3223,33,21,743,3,576,5215,14449246.000000
72,17,148,0,0,13,4,293,0,46,718,509,3177,29,21,820,4,547,5324,13725154.000000
80,42,157,0,0,15,3,299,0,49,843,562,3443,31,21,814,1,596,5764,14953402.000000
72,12,140,0,0,15,2,287,0,51,578,459,2687,33,21,814,4,528,4647,13243929.000000
64,38,151,0,0,14,4,301,0,48,735,462,2816,32,21,802,6,572,4922,14347117.000000
70,39,145,0,0,12,3,300,0,44,609,492,3062,28,21,725,5,569,4986,14272147.000000
85,51,150,0,0,12,3,318,0,49,812,480,3128,33,21,746,3,619,5272,15524760.000000
71,35,147,0,0,14,5,297,0,42,692,476,2531,31,21,826,1,569,4620,14267771.000000
66,38,149,0,0,13,2,303,0,46,853,486,3012,32,21,804,3,571,5257,14324541.000000
67,27,144,0,0,14,4,274,0,43,598,486,2830,32,21,879,4,530,4893,13296156.000000
67,55,149,0,0,16,3,294,0,45,656,489,2810,31,21,742,5,584,4799,14645389.000000
63,45,145,0,0,15,2,290,0,57,837,557,3332,33,21,743,5,560,5585,14052637.000000
81,14,149,0,0,13,5,305,0,53,739,505,2767,30,21,825,1,567,4941,14220635.000000
64,46,132,0,0,11,5,264,0,46,654,508,3198,30,21,633,5,522,5095,13098143.000000
89,27,153,0,0,12,3,304,0,54,672,495,3026,31,21,736,4,588,5039,14747450.000000
64,43,157,0,0,14,3,297,0,41,917,545,3441,32,21,693,5,578,5695,14503895.000000
71,30,138,0,0,15,5,280,0,49,687,519,3325,31,21,829,2,539,5463,13526019.000000
65,29,134,0,0,15,4,280,0,51,505,502,2872,32,21,694,4,527,4681,13218852.000000
84,43,139,0,0,14,4,270,0,48,696,525,3487,29,21,785,2,554,5593,13902210.000000
51,26,144,0,0,12,3,292,0,54,785,490,3092,34,21,769,5,528,5250,13249935.000000
80,32,139,0,0,13,2,265,0,53,1024,509,3634,32,21,631,5,531,5909,13331299.000000
58,28,144,0,0,15,2,300,0,48,780,502,2911,32,21,743,3,547,5040,13722217.000000
