countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
48,0,70,0,0,1,1,0,0,34,615,239,3134,13,21,76,72,120,4204,1828208.000000,48,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,118,4198,1798308.000000,570.666078
48,0,70,0,0,1,1,0,0,34,615,239,3134,13,21,89,71,120,4216,1828123.000000,48,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,118,4198,1798308.000000,559.338072
47,0,68,0,0,2,2,0,0,35,651,236,3134,14,21,93,71,119,4255,1813197.000000,48,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,118,4198,1798308.000000,553.758674
47,0,68,0,0,2,3,0,0,35,651,236,3134,15,21,100,70,120,4262,1828102.000000,48,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,118,4198,1798308.000000,550.989881
47,0,68,0,0,2,3,0,0,35,655,236,3134,15,21,102,70,120,4268,1828116.000000,48,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,118,4198,1798308.000000,540.052457
45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,534.665433
47,0,63,0,0,2,3,0,0,35,655,236,3134,15,21,102,70,115,4268,1753116.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,526.685485
47,0,63,0,0,3,4,0,0,35,655,236,3134,16,21,104,69,117,4270,1782996.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,508.525710
47,0,63,0,0,4,4,0,0,35,649,237,3134,17,21,106,69,118,4268,1798021.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,498.431221
47,0,68,0,0,4,4,15,0,35,649,232,3071,17,21,101,69,138,4195,2097676.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,495.939065
46,0,69,0,0,4,4,15,0,34,649,232,3071,17,21,101,69,138,4194,2097675.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,493.459369
45,0,69,0,0,4,4,15,0,32,652,230,3071,17,21,106,69,137,4198,2082699.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,471.692669
45,0,69,0,0,4,5,15,0,32,652,230,3071,18,21,117,68,138,4209,2097624.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,446.388517
45,0,69,0,0,4,5,15,0,32,652,230,3071,18,21,121,67,138,4212,2097494.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,437.527482
45,0,69,0,0,4,5,15,0,32,652,230,3071,18,21,127,66,138,4217,2097374.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,430.997330
45,0,69,0,0,4,5,21,0,32,648,226,3049,18,21,127,66,144,4187,2187256.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,420.329609
44,0,68,0,0,5,5,21,0,33,651,226,3049,19,21,129,66,143,4194,2172290.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,414.056137
44,0,68,0,0,5,5,21,0,33,651,226,3049,19,21,135,65,143,4199,2172170.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,411.985856
44,0,68,0,0,5,5,15,0,33,655,230,3071,19,21,135,65,137,4229,2082288.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,409.925927
47,0,67,0,0,6,5,15,0,35,655,231,3071,20,21,142,65,140,4240,2127346.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,403.807731
45,0,72,0,0,6,5,30,0,30,645,223,2921,20,21,147,65,158,4072,2396598.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,401.788692
44,0,73,0,0,6,5,30,0,29,637,223,2921,20,21,148,65,158,4064,2396594.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,384.065624
43,0,76,0,0,6,5,39,0,29,628,218,2867,20,21,148,65,169,3996,2561310.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,367.124327
43,0,76,0,0,6,5,39,0,29,628,218,2867,20,21,160,64,169,4007,2561220.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,338.830468
43,4,72,0,0,6,5,51,0,29,620,211,2779,20,21,160,64,181,3904,2740765.000000,45,0,65,0,0,2,3,0,0,33,655,236,3134,15,21,102,70,115,4266,1753114.000000,328.791771
