countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
45,24,83,0,0,6,2,147,0,46,684,355,1958,20,28,213,3,307,3307,9225582.000000,45,24,83,0,0,6,2,147,0,47,678,350,1929,21,28,219,3,307,3275,9225541.000000,600.000000
45,24,79,0,0,6,2,149,0,46,676,351,1976,20,28,213,3,305,3313,9165660.000000,45,24,79,0,0,6,2,149,0,46,676,351,1976,20,28,213,3,305,3313,9165660.000000,597.000000
43,19,79,0,0,6,2,143,0,47,694,352,1940,20,28,213,3,292,3297,8775504.000000,43,19,79,0,0,6,2,143,0,47,694,352,1940,20,28,213,3,292,3297,8775504.000000,597.000000
43,19,82,0,0,6,2,150,0,44,650,350,1888,20,28,213,3,302,3196,9075183.000000,43,19,79,0,0,6,2,143,0,47,694,352,1940,20,28,213,3,292,3297,8775504.000000,594.015000
43,19,80,0,0,6,2,143,0,47,694,351,1940,20,28,213,3,293,3296,8805503.000000,43,19,79,0,0,6,2,143,0,47,694,352,1940,20,28,213,3,292,3297,8775504.000000,594.015000
43,19,79,0,0,6,2,143,0,47,687,352,1950,20,28,213,3,292,3300,8775547.000000,43,19,79,0,0,6,2,143,0,47,694,352,1940,20,28,213,3,292,3297,8775504.000000,594.015000
45,19,79,0,0,6,2,139,0,49,691,353,1966,20,28,215,3,290,3325,8715672.000000,45,19,79,0,0,6,2,139,0,49,691,353,1966,20,28,215,3,290,3325,8715672.000000,591.044925
41,19,77,0,0,7,2,141,0,44,630,348,1647,20,28,219,3,287,2939,8624046.000000,41,19,77,0,0,7,2,141,0,44,630,348,1647,20,28,219,3,287,2939,8624046.000000,591.044925
40,19,78,0,0,7,2,141,0,45,639,350,1662,20,28,219,3,287,2966,8624137.000000,41,19,77,0,0,7,2,141,0,44,630,348,1647,20,28,219,3,287,2939,8624046.000000,588.089700
41,19,75,0,0,6,1,141,0,45,643,347,1656,20,28,214,3,283,2956,8504033.000000,41,19,75,0,0,6,1,141,0,45,643,347,1656,20,28,214,3,283,2956,8504033.000000,588.089700
44,19,75,0,0,6,1,134,0,46,651,349,1665,20,28,214,3,279,2976,8384093.000000,44,19,75,0,0,6,1,134,0,46,651,349,1665,20,28,214,3,279,2976,8384093.000000,585.149252
44,19,75,0,0,6,1,132,0,45,654,343,1659,20,28,214,3,277,2966,8324055.000000,44,19,75,0,0,6,1,132,0,45,654,343,1659,20,28,214,3,277,2966,8324055.000000,582.223506
44,19,75,0,0,6,1,134,0,44,651,350,1665,20,28,214,3,279,2975,8384084.000000,44,19,75,0,0,6,1,132,0,45,654,343,1659,20,28,214,3,277,2966,8324055.000000,582.223506
44,19,75,0,0,6,1,134,0,44,659,353,1679,20,28,214,3,279,3000,8384165.000000,44,19,75,0,0,6,1,132,0,45,654,343,1659,20,28,214,3,277,2966,8324055.000000,579.312388
42,19,70,0,0,6,1,130,0,44,665,355,1720,20,28,214,3,268,3049,8054378.000000,42,19,70,0,0,6,1,130,0,44,665,355,1720,20,28,214,3,268,3049,8054378.000000,576.415826
42,19,69,0,0,6,1,125,0,40,665,359,1755,20,28,214,3,262,3084,7874537.000000,42,19,69,0,0,6,1,125,0,40,665,359,1755,20,28,214,3,262,3084,7874537.000000,573.533747
42,15,69,0,0,6,1,125,0,40,669,359,1815,20,28,214,3,258,3148,7754841.000000,42,15,69,0,0,6,1,125,0,40,669,359,1815,20,28,214,3,258,3148,7754841.000000,570.666078
42,19,69,0,0,6,1,125,0,40,665,358,1755,20,28,214,3,262,3083,7874536.000000,42,15,69,0,0,6,1,125,0,40,669,359,1815,20,28,214,3,258,3148,7754841.000000,570.666078
42,19,69,0,0,6,2,125,0,40,665,358,1755,21,28,214,3,263,3084,7904556.000000,42,15,69,0,0,6,1,125,0,40,669,359,1815,20,28,214,3,258,3148,7754841.000000,567.812748
40,19,69,0,0,6,1,125,0,39,661,359,1747,20,28,216,3,260,3073,7814518.000000,42,15,69,0,0,6,1,125,0,40,669,359,1815,20,28,214,3,258,3148,7754841.000000,567.812748
40,19,68,0,0,6,1,125,0,41,605,357,1668,20,28,216,3,259,2938,7784075.000000,42,15,69,0,0,6,1,125,0,40,669,359,1815,20,28,214,3,258,3148,7754841.000000,564.973684
